particle concentration [ppm],q [1/A],mean intensity [a.u.],standard deviation of intensity [a.u.],background-subtracted intensity [a.u.],standard deviation of background-subtracted intensity [a.u.]
0.0,0.06140351625008354,28.70642722117202,0.23734368383588753,0.0,0.23734368383588753
0.0,0.061583051825108,28.62226211849192,0.21733487334016416,0.0,0.21733487334016416
0.0,0.061762587339958645,28.541856060606058,0.24015338219845414,0.0,0.24015338219845414
0.0,0.06194212279446003,28.50900900900901,0.23519035629205645,0.0,0.23519035629205645
0.0,0.06212165818843676,28.555658627087194,0.2184316499040412,0.0,0.2184316499040412
0.0,0.06230119352171348,28.58196721311475,0.21476676656044247,0.0,0.21476676656044247
0.0,0.06248072879411476,28.585714285714282,0.20489881208192612,0.0,0.20489881208192612
0.0,0.06266026400546522,28.560667903525047,0.21997295914107004,0.0,0.21997295914107004
0.0,0.06283979915558947,28.610233393177737,0.19983337082388566,0.0,0.19983337082388566
0.0,0.06301933424431212,28.585663082437275,0.1485138758534502,0.0,0.1485138758534502
0.0,0.06319886927145776,28.4786355475763,0.14370554381874548,0.0,0.14370554381874548
0.0,0.06337840423685101,28.427906976744186,0.1688256050686607,0.0,0.1688256050686607
0.0,0.06355793914031649,28.35923217550274,0.1417314296875778,0.0,0.1417314296875778
0.0,0.06373747398167877,28.30894736842105,0.1894744152038692,0.0,0.1894744152038692
0.0,0.06391700876076249,28.32813067150635,0.26882293405803587,0.0,0.26882293405803587
0.0,0.06409654347739224,28.343652173913046,0.2798543504518399,0.0,0.2798543504518399
0.0,0.06427607813139267,28.336559139784942,0.24881213407795624,0.0,0.24881213407795624
0.0,0.06445561272258835,28.431956912028728,0.25329228883662896,0.0,0.25329228883662896
0.0,0.0646351472508039,28.501381692573403,0.21854402528323644,0.0,0.21854402528323644
0.0,0.06481468171586394,28.541039426523298,0.2271995062204255,0.0,0.2271995062204255
0.0,0.06499421611759303,28.50571923743501,0.2011441192642421,0.0,0.2011441192642421
0.0,0.06517375045581586,28.473796791443846,0.1516321242937141,0.0,0.1516321242937141
0.0,0.065353284730357,28.391794871794872,0.15717537396457826,0.0,0.15717537396457826
0.0,0.06553281894104104,28.363321799307954,0.1840947520805571,0.0,0.1840947520805571
0.0,0.06571235308769265,28.39410745233969,0.187728176857565,0.0,0.187728176857565
0.0,0.0658918871701364,28.442059336823736,0.22579019225717245,0.0,0.22579019225717245
0.0,0.0660714211881969,28.50068965517241,0.23016201707177425,0.0,0.23016201707177425
0.0,0.06625095514169878,28.465704584040747,0.27039402309763555,0.0,0.27039402309763555
0.0,0.06643048903046667,28.431325301204822,0.26052425637411586,0.0,0.26052425637411586
0.0,0.06661002285432516,28.432642487046632,0.23821834795607047,0.0,0.23821834795607047
0.0,0.06678955661309885,28.430993150684934,0.13836644221250835,0.0,0.13836644221250835
0.0,0.06696909030661238,28.465247018739355,0.09965695479065485,0.0,0.09965695479065485
0.0,0.06714862393469034,28.445424292845257,0.1576999787818436,0.0,0.1576999787818436
0.0,0.0673281574971574,28.365924657534247,0.1611738036415442,0.0,0.1611738036415442
0.0,0.0675076909938381,28.334923339011926,0.16260234622600883,0.0,0.16260234622600883
0.0,0.06768722442455713,28.335607321131448,0.16655075366422692,0.0,0.16655075366422692
0.0,0.06786675778913906,28.371186440677967,0.20100723102214138,0.0,0.20100723102214138
0.0,0.0680462910874085,28.47537437603993,0.2793122188021889,0.0,0.2793122188021889
0.0,0.06822582431919011,28.53128205128205,0.30406965225513316,0.0,0.30406965225513316
0.0,0.06840535748430847,28.477250409165304,0.2771251675999389,0.0,0.2771251675999389
0.0,0.06858489058258821,28.405610561056108,0.19079047784711742,0.0,0.19079047784711742
0.0,0.06876442361385397,28.323793677204662,0.19424016620400847,0.0,0.19424016620400847
0.0,0.06894395657793032,28.284628099173556,0.196400642086781,0.0,0.196400642086781
0.0,0.06912348947464192,28.271192052980133,0.17311390018533387,0.0,0.17311390018533387
0.0,0.06930302230381337,28.301620745542948,0.17460394864077478,0.0,0.17460394864077478
0.0,0.06948255506526929,28.314475873544097,0.14744387467785997,0.0,0.14744387467785997
